Order,Site,Gentry_Code,year,Line,Main_Stem,LTER_Tag_#,LTER_Tag_# 2,Taxon,ENQ_Tag_#,CI,Comments JG,Comments JG (simplified),"Growth dbh, (3 yrs)","Growth dgh, (3 yrs)","DBH +DGH, 3yrs",Bins kg,Bins 10 kg,Mass yr 3,Mass dbh yr 1,Mass dbh yr 3,dbh mass growth,mass dgh yr 1,mass dgh yr 3,growth mass dgh,"mass, yr 1, dbh + dgh",growth dbh + dgh,Distance_m,location_2012,Date,Year 2 sample date,Year 3 sample date,Year1_DBH,Year2_DBH,Year3_DBH,Year1_DGH_1,Year2_DGH,Year3_DGH,Mortality_Date,error,Dendrometer,Year2_recorder,Year2_Tagger,Year2_measurer,DTN,POM,Year1_notes,Year2_Notes,Year3_Notes,Year1_Total_Plot_Biomass,Sampled,Angle,location_2011,Cloth_tape,RUFINO HABIT,vnum,WoodDensityBIEN,log Growth (kg/2yr),log Mass (kg),mass-norm growth
1,Harvard Forest LTER,HFRT1,1,1,na,,,,5467,2,,,,1,1,<1kg,,0.107485427,,,,0.107485427,0.107485427,0,0.107485427,0,0.5,RR,20111117,20121114,20131028,,,,1,1,2,,,,Amanda,Lindsey,Colby,,,HEMLOCK,TC,,,,,R,,,5865,0.38,,-0.968650414,
2,Harvard Forest LTER,HFRT1,1,1,na,50136,50136,Tsuga canadensis,,3,,,0.6,,0.6,100-500kg,,109.1318524,99.9586841,109.1318524,9.173168292,,,,99.9586841,9.173168292,1.2,LL,20111117,20121114,20131028,16.4,16.6,17,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5866,0.38,0.962519361,1.99982053,-0.537346036
3,Harvard Forest LTER,HFRT1,1,1,na,50132,50132,Tsuga canadensis,,1.5,,,0.1,,0.1,1-5kg,,3.583102472,3.37821232,3.583102472,0.204890152,,,,3.37821232,0.204890152,5.4,C,20111117,20121114,20131028,4.1,4.2,4.2,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,C,,,5867,0.38,-0.688478915,0.528686941,-1.084994121
4,Harvard Forest LTER,HFRT1,1,1,na,50141,50141,Tsuga canadensis,,1.5,,,0,,0,<1kg,,0.9128423,0.9128423,0.9128423,0,,,,0.9128423,0,16.3,R,20111117,20121114,20131028,2.4,2.3,2.4,4.1,,,,,,Amanda,Lindsey,Colby,,,G,,,,,,R,,,5868,0.38,,-0.039604243,
5,Harvard Forest LTER,HFRT1,1,1,na,,,,5468,2,Dead,Dead,,,,,,,,,,,,,,,19.2,LL,20111117,20121114,20131028,,,,1.5,1.4,,10_2013,,,Amanda,Lindsey,Colby,,,HEMLOCK,KL,,,,,L,,,5869,0.62,,,
6,Harvard Forest LTER,HFRT1,1,1,na,50266,50266,Kalmia latifolia,,1.5,Dead,Dead,0,,0,1-5kg,,1.843671573,1.843671573,1.843671573,0,,,,1.843671573,0,20.7,R,20111117,20121114,20131028,3.2,3.1,3.2,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,R,,,5870,0.62,,0.265683559,
7,Harvard Forest LTER,HFRT1,1,1,na,50264,50264,Tsuga canadensis,,1.5,,,0.2,,0.2,5-20kg,,13.37339101,12.48379557,13.37339101,0.889595434,,,,12.48379557,0.889595434,21.1,RR,20111117,20121114,20131028,7,7.1,7.2,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,R,,,5871,0.38,-0.050807455,1.096346648,-0.873067441
8,Harvard Forest LTER,HFRT1,1,1,na,,,,5469,1,Dead,Dead,,,,,,,,,,,,,,,21.7,RR,20111117,20121114,20131028,,,,1.3,1.3,,10_2013,,,Amanda,Lindsey,Colby,,,HEMLOCK,TC,,,,,R,,,5872,0.38,,,
9,Harvard Forest LTER,HFRT1,1,1,na,50225,50225,Acer rubrum,,3,,,0.5,,0.5,100-500kg,,202.6398159,191.5206658,202.6398159,11.11915012,,,,191.5206658,11.11915012,22.3,L,20111117,20121114,20131028,21.4,21.5,21.9,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5873,0.49,1.046071594,2.282215643,-0.665590138
10,Harvard Forest LTER,HFRT1,1,1,na,50232,50232,Tsuga canadensis,,1.5,45º,,0.1,,0.1,1-5kg,,2.805761851,2.628757352,2.805761851,0.177004498,,,,2.628757352,0.177004498,25.3,L,20111117,20121114,20131028,3.7,3.8,3.8,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5874,0.38,-0.752015697,0.4197505,-1.066828573
11,Harvard Forest LTER,HFRT1,2,1,na,50231,,,,1,,,,,,,,,,,,,,,,,25.9,R,20121114,20121114,20131028,,6.5,6.5,,,,,,,Amanda,Lindsey,Colby,,,,TC,,,,,,,,5875,0.38,,,
12,Harvard Forest LTER,HFRT1,1,1,na,50233,50233,Tsuga canadensis,,1.5,,,0.1,,0.1,5-20kg,,13.37339101,12.92407182,13.37339101,0.449319191,,,,12.92407182,0.449319191,26.2,L,20111117,20121114,20131028,7.1,7.2,7.2,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5876,0.38,-0.347445032,1.111399363,-1.180994554
13,Harvard Forest LTER,HFRT1,1,1,na,50234,50234,Acer rubrum,,4,,,0.2,,0.2,100-500kg,,353.4752619,347.2266222,353.4752619,6.248639664,,,,347.2266222,6.248639664,26.6,C,20111117,20121114,20131028,27.3,27.3,27.5,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,C,,,5877,0.49,0.795785481,2.540613016,-1.10967428
14,Harvard Forest LTER,HFRT1,1,1,na,,,,5470,1,Dead,Dead,,,,,,,,,,,,,,,26.8,C,20111117,20121114,20131028,,,,1.9,,,11_2012,,,Amanda,Lindsey,Colby,,,HEMLOCK,dead,,,,,L,,,5878,0.38,,,
15,Harvard Forest LTER,HFRT1,1,1,na,50237,50237,Tsuga canadensis,,1,,,0.3,,0.3,5-20kg,,11.63014464,10.41605764,11.63014464,1.214086995,,,,10.41605764,1.214086995,27.9,C,20111117,20121114,20131028,6.5,6.7,6.8,,,,,,,Amanda,Lindsey,Colby,,,50237 TWICE *,,,,,,C,,,5879,0.38,0.084249807,1.017703375,-0.679027724
16,Harvard Forest LTER,HFRT1,1,1,na,50238,50238,Acer rubrum,,2.5,,,0.6,,0.6,100-500kg,,130.6618567,120.4404207,130.6618567,10.22143601,,,,120.4404207,10.22143601,28.4,C,20111117,20121114,20131028,17.7,17.9,18.3,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,C,,,5880,0.49,1.009511914,2.080772264,-0.551067284
17,Harvard Forest LTER,HFRT1,1,1,na,50237,50237,Tsuga canadensis,,NA,,,0.2,,0.2,>500kg,,1863.515336,1846.788259,1863.515336,16.72707694,,,,1846.788259,16.72707694,33.5,C,20111117,20121114,20131028,54.1,54.3,54.3,,,,,,,Amanda,Lindsey,Colby,,,*,,,,,,C,,,5881,0.38,1.223420055,3.266417105,-1.226392774
18,Harvard Forest LTER,HFRT1,1,1,na,,,,5471,1.5,Almost dead,Dead,,0.1,0.1,<1kg,,0.135672746,,,,0.107485427,0.135672746,0.028187318,0.107485427,0.028187318,38.5,LL,20111117,20121114,20131028,,,,1,1.1,1.1,,d,,Amanda,Lindsey,Colby,,,HEMLOCK,TC,,,,,R,,,5882,0.38,-1.549946245,-0.968650414,-0.823458434
19,Harvard Forest LTER,HFRT1,1,1,na,50268,50268,Acer rubrum,,4,,,0.7,,0.7,>500kg,,641.6637819,610.8437603,641.6637819,30.82002157,,,,610.8437603,30.82002157,40.1,L,20111117,20121114,20131028,34.4,34.6,35.1,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5883,0.49,1.488832938,2.785930142,-0.600614668
20,Harvard Forest LTER,HFRT1,3,1,na,,,,5647,NA,,,,,,,,,,,,,,,,,42.3,,,,20131028,,,,,,1,,,,,,,,,,,picca rubens,,,,,,,,0.37,,,
21,Harvard Forest LTER,HFRT1,1,1,na,50371,50371,Tsuga canadensis,,2.5,Dead,Dead,0.2,,0.2,100-500kg,,230.8529669,225.9995574,230.8529669,4.853409477,,,,225.9995574,4.853409477,40.9,L,20111117,20121114,20131028,22.9,23.1,23.1,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5884,0.38,0.686046934,2.354107589,-1.079533758
22,Harvard Forest LTER,HFRT1,1,1,na,,,,5472,1.5,Dead,Dead,,,,,,,,,,,,,,,42.3,R,20111117,20121114,20131028,,,,1.2,1.2,,10_2013,,,Amanda,Lindsey,Colby,,,HEMLOCK,TC,,,,,R,,,5885,0.38,,,
23,Harvard Forest LTER,HFRT1,1,1,na,50372,50372,Tsuga canadensis,,1.5,15º,,0.1,,0.1,5-20kg,,6.038148056,5.758340116,6.038148056,0.27980794,,,,5.758340116,0.27980794,43.9,LL,20111117,20121114,20131028,5.1,5.2,5.2,,,,,,,Amanda,Lindsey,Colby,,,,fallen,,,,,L,,,5886,0.38,-0.553139966,0.760297313,-1.123362951
